period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density
147524873672,147535279016,147535277793,147535279016,10404121,1442.056313330,1442.159543430,1442.159536960,1442.159543430,0.103223630,1,1,1
147535279016,147547564834,147547563980,147547564834,12284964,1442.159543430,1442.282401550,1442.282398860,1442.282401550,0.122855430,1,1,1
147547564834,147559858333,147559857590,147559858333,12292756,1442.282401550,1442.405335590,1442.405333920,1442.405335590,0.122932370,1,1,1
147559858333,147572149110,147572148372,147572149110,12290039,1442.405335590,1442.528243690,1442.528241650,1442.528243690,0.122906060,1,1,1
147572149110,147584459966,147584459239,147584459966,12310129,1442.528243690,1442.651352290,1442.651350580,1442.651352290,0.123106890,1,1,1
147584459966,147596969769,147596968737,147596969769,12508771,1442.651352290,1442.776451240,1442.776445450,1442.776451240,0.125093160,1,1,1
147596969769,147609387461,147609386386,147609387461,12416617,1442.776451240,1442.900627200,1442.900622430,1442.900627200,0.124171190,1,1,1
147609387461,147621679919,147621679053,147621679919,12291592,1442.900627200,1443.023551710,1443.023548930,1443.023551710,0.122921730,1,1,1
147621679919,147633977913,147633977070,147633977913,12297151,1443.023551710,1443.146531390,1443.146528420,1443.146531390,0.122976710,1,1,1
147633977913,147646395791,147646394763,147646395791,12416850,1443.146531390,1443.270710170,1443.270705660,1443.270710170,0.124174270,1,1,1
147646395791,147658705233,147658701090,147658705233,12305299,1443.270710170,1443.393804590,1443.393789400,1443.393804590,0.123079230,1,1,1
147658705233,147671046464,147671045785,147671046464,12340552,1443.393804590,1443.517217150,1443.517215170,1443.517217150,0.123410580,1,1,1
147671046464,147683333822,147683333045,147683333822,12286581,1443.517217150,1443.640090470,1443.640088410,1443.640090470,0.122871260,1,1,1
147683333822,147695859912,147695858693,147695859912,12524871,1443.640090470,1443.765351380,1443.765346310,1443.765351380,0.125255840,1,1,1
147695859912,147708281099,147708279978,147708281099,12420066,1443.765351380,1443.889563250,1443.889558230,1443.889563250,0.124206850,1,1,1
147708281099,147720578119,147720577388,147720578119,12296289,1443.889563250,1444.012533470,1444.012531520,1444.012533470,0.122968270,1,1,1
147720578119,147732877177,147732876432,147732877177,12298313,1444.012533470,1444.135525310,1444.135521990,1444.135525310,0.122988520,1,1,1
147732877177,147745269655,147745268699,147745269655,12391522,1444.135525310,1444.259449080,1444.259444930,1444.259449080,0.123919620,1,1,1
147745269655,147757555212,147757551047,147757555212,12281392,1444.259449080,1444.382306160,1444.382290920,1444.382306160,0.122841840,1,1,1
147757555212,147769899706,147769898917,147769899706,12343705,1444.382306160,1444.505750570,1444.505747580,1444.505750570,0.123441420,1,1,1
